날짜 (년-월-일),평균기온 ( ℃ ),최고기온 ( ℃ ),최저기온 ( ℃ ),습도 ( % ),풍향 (방향),풍속 ( m/s ),강수량 ( mm ),일사량 ( MJ/㎡ ),일조시간 ( hr:mm )
2015-01-01,-6.6,-2.5,-12.1,47.1,서남서,2.2,0,10,-
2015-01-02,-7.5,-0.2,-14.5,63.6,서남서,1.6,0,9.4,-
2015-01-03,-7.6,2.7,-17.4,70.1,남서,0.7,0,9.9,-
2015-01-04,-1.5,8.8,-7.2,77.9,남,0.5,0,6.7,-
2015-01-05,-1,7.8,-8.5,82.5,남동,0.4,1,6.7,-
2015-01-06,1.4,4.6,-4.3,64.8,서남서,2.2,8.5,10,-
2015-01-07,-4.9,0.7,-10.8,45.2,서남서,1.5,0,10.5,-
2015-01-08,-7,2.9,-14.8,67.8,서남서,0.9,0,10.6,-
2015-01-09,-4.6,4.9,-12.5,72.9,서남서,1.2,0,8.8,-
2015-01-10,-3.1,6.4,-10.5,69.4,남서,1.1,0,10.9,-
2015-01-11,-2.4,5.6,-10.1,63.6,서남서,1.6,0,10.2,-
2015-01-12,-4.8,5,-12,69.4,동남동,0.6,0,10.6,-
2015-01-13,-3.8,7.9,-13,71.4,남남동,0.4,0,10,-
2015-01-14,0.1,5.1,-3.3,72.2,남,0.3,0,2.9,-
2015-01-15,0.4,9.6,-5.7,75,남동,0.4,0,5.8,-
2015-01-16,-1.3,6.5,-8.5,78.9,서남서,1.3,0,5.4,-
2015-01-17,-1.3,3,-8.9,45.9,서남서,2.3,0,11.7,-
2015-01-18,-3.9,5.1,-13.3,63.7,남서,0.8,0,11.7,-
2015-01-19,2.1,6.1,-4.2,65.2,서남서,1.8,0.5,7.9,-
2015-01-20,-2.4,6.9,-10.1,73.5,남남동,0.4,0,9.9,-
2015-01-21,0.7,6,-3.6,78.7,남남서,0.3,2,3.4,-
2015-01-22,1.9,5.1,-0.1,95.4,서남서,0.4,4,2.9,-
2015-01-23,-0.6,4.7,-4.5,91.1,남서,0.5,0,6.3,-
2015-01-24,-0.4,8.4,-5.8,81.1,남서,0.9,0,10.6,-
2015-01-25,-0.4,6.2,-5.6,85.7,동,0.2,3.5,3.7,-
2015-01-26,4.1,7.8,1.2,92.8,서,0.5,3.5,2.7,-
2015-01-27,1,5.3,-5.5,64,서남서,1.6,0,11.1,-
2015-01-28,-3.5,4.5,-9.6,67.9,남,0.6,0,9.9,-
2015-01-29,-1.6,4.3,-6.7,86.7,남서,0.4,0,4.5,-
2015-01-30,0.1,3.7,-4.3,65.1,서남서,1.6,1.5,11.9,-
2015-01-31,-4.7,2.5,-11.6,62.4,남서,1.1,0,13.2,-
2015-02-01,-5.2,5.2,-13.3,66.5,남동,0.5,0,13.2,-
2015-02-02,-3.8,7.6,-11.3,71.1,남남동,0.4,0,10.7,-
2015-02-03,-2.1,8.4,-9.9,71.2,남,0.4,0,10.5,-
2015-02-04,-0.9,6.9,-7.7,67.2,서남서,1,0,11.8,-
2015-02-05,-1.8,5.7,-8.2,70,서남서,1.1,0,9,-
2015-02-06,-2,7.4,-9.4,68.1,남서,1,0,13.2,-
2015-02-07,-1,7,-7.2,70.3,서남서,1.1,0,11.8,-
2015-02-08,-4.2,2.7,-9,38.8,서남서,3.4,0,14.6,-
2015-02-09,-5.2,1,-13.5,41.6,서남서,2.7,0,14.6,-
2015-02-10,2.3,9,-4.8,52.4,서남서,1.9,0,11.5,-
2015-02-11,0.2,9.6,-7.7,69.8,서남서,0.9,0,10.3,-
2015-02-12,-1.1,4.7,-8,51.4,서남서,2.2,0,15.2,-
2015-02-13,-2.9,5,-12.2,43.6,서남서,1.6,0,15.3,-
2015-02-14,-1.9,9.3,-11.3,67.1,서남서,1,0,12.6,-
2015-02-15,2.6,11.5,-7.6,71.6,동남동,1,0,8.1,-
2015-02-16,3.7,4.8,2.4,96.1,동,0.4,10.5,1.6,-
2015-02-17,3,6.1,0.8,77.5,서남서,1.6,0,6.9,-
2015-02-18,1.6,6,-3.9,72.8,서남서,1.8,0,7.3,-
2015-02-19,-0.4,8.2,-5.2,77.4,남,0.4,0,10.5,-
2015-02-20,1.3,11.5,-8.2,71.2,남서,0.5,0,15.1,-
2015-02-21,4.5,6.7,1.3,85.1,동남동,0.4,3.5,2.7,-
2015-02-22,6.9,12.8,0.9,75.3,서남서,1.6,0,10.1,-
2015-02-23,2.3,8.4,-2.9,60.2,서남서,1.4,0,13.3,-
2015-02-24,1.7,9.3,-4.2,63.8,서남서,1,0,14.7,-
2015-02-25,3.1,12.2,-4.1,66.4,남남서,0.5,0,10.4,-
2015-02-26,1.8,8.9,-3,61,서남서,2,0,12.5,-
2015-02-27,-1.4,4.8,-6.4,40.7,서남서,1.4,0,16.2,-
2015-02-28,-1,6.2,-9,68.9,남서,0.5,0,7,-
2015-03-01,2.4,7,-0.2,73.5,서남서,1.5,3.5,10.9,-
2015-03-02,1.1,10.9,-7.6,58.3,남서,0.8,0,18.3,-
2015-03-03,1.2,6,-2.8,77.9,동남동,0.6,0.5,4.1,-
2015-03-04,0.3,5.1,-3.4,38.2,서남서,3.3,0,19.4,-
2015-03-05,-1.4,7.5,-11,54.6,남동,0.7,0,18.1,-
2015-03-06,1.4,11.6,-7.7,62.3,남남서,0.6,0,18.6,-
2015-03-07,2.1,13.2,-6.2,61.1,남서,0.7,0,18.7,-
2015-03-08,3.2,15.5,-8.2,60.7,남동,0.6,0,16.8,-
2015-03-09,4.6,13.6,-3.8,49.1,서남서,2.4,0,16.3,-
2015-03-10,-2.3,2.5,-6.7,30.5,서남서,3.3,0,20.6,-
2015-03-11,1.4,8.5,-8.6,42.4,서남서,3.1,0,17,-
2015-03-12,1.3,10.1,-7.4,40.5,서남서,1.7,0,20.2,-
2015-03-13,1.3,12.5,-7.2,57.8,남서,1,0,12,-
2015-03-14,2,12.7,-8.5,55.3,남남동,0.6,0,19.3,-
2015-03-15,4.4,16.8,-5.9,50.3,남서,0.7,0,17.8,-
2015-03-16,6.2,20,-4.1,50.3,남,0.5,0,17.1,-
2015-03-17,9.1,21.9,-3,54.7,남서,0.6,0,14.3,-
2015-03-18,7.5,9,5.6,89.6,동남동,0.3,34,1.3,-
2015-03-19,11.3,19.8,6.5,80.3,남남동,0.5,0,20.1,-
2015-03-20,11.4,20.8,6,69.7,남동,0.6,0,15.1,-
2015-03-21,10.1,20.6,1.2,57.3,서남서,0.9,0,19.4,-
2015-03-22,8.2,17.7,-1.7,44.8,서남서,2,0,20.2,-
2015-03-23,5.1,11.8,-4.2,33.9,서남서,2.4,0,22.8,-
2015-03-24,3.1,13.1,-6.4,48.5,남서,0.9,0,22.1,-
2015-03-25,3.7,15.1,-6.6,53.6,남남서,0.6,0,22.2,-
2015-03-26,5.7,18.5,-6.2,49,서남서,1.1,0,22.6,-
2015-03-27,7,19,-4.6,51.3,서남서,1,0,19.1,-
2015-03-28,9.7,20.8,-4.7,48,서남서,1.1,0,22.3,-
2015-03-29,11.4,20,2.5,50.3,남서,1,0,16,-
2015-03-30,11.7,23.7,-0.2,63.5,남서,0.8,0,20.9,-
2015-03-31,9.7,14.1,2.9,91.5,동남동,0.3,0,3.1,-
2015-04-01,10.3,12.7,7.9,88.9,동,0.7,2.5,2.5,-
2015-04-02,11.3,20.9,7.1,79.9,남동,0.8,0,6.1,-
2015-04-03,16.2,21.6,7.5,72.6,남서,2.2,0.5,15.2,-
2015-04-04,10.1,17.8,6.3,71.6,동,1.3,11,16,-
2015-04-05,9.1,11.5,6.7,91.3,남남서,0.3,2.5,4.2,-
2015-04-06,10.8,13.7,7.7,91.8,남서,0.4,1,4.5,-
2015-04-07,7.4,8.8,5,77.8,동,0.8,0,3.6,-
2015-04-08,6.1,10.6,0.2,78.7,동남동,0.5,0,7.2,-
2015-04-09,7.2,16.1,-1.2,71.1,남,0.6,0,21.2,-
2015-04-10,8.6,19.2,-1.1,67.2,동남동,0.6,0,20.3,-
2015-04-11,9.5,21.6,-1.7,57.9,남동,0.7,0,23.9,-
2015-04-12,8.8,18,-1.4,60.8,동,1.1,0,12.6,-
2015-04-13,8.7,11.2,6.5,86.5,동남동,0.5,8.5,3.4,-
2015-04-14,9.6,15.7,5.6,81.5,남서,0.8,9,15.5,-
2015-04-15,11.1,19.6,4.4,69.1,서남서,1.7,0.5,19,-
2015-04-16,9.9,24,0.7,73.6,서남서,1.3,2,14.7,-
2015-04-17,10.6,20.6,-0.9,51.6,서남서,1.2,0,25,-
2015-04-18,11.3,21.4,-0.6,58.1,남,0.6,0.5,15.9,-
2015-04-19,13.1,15.6,10.1,95.1,동남동,0.2,5,3.6,-
2015-04-20,11.1,14.4,7.2,94.8,동,0.4,11,3.2,-
2015-04-21,12.2,22.3,6.6,72.6,남,0.6,0.5,23.3,-
2015-04-22,13,22.4,4.6,62.5,서남서,1,0,20.1,-
2015-04-23,12.7,24.6,0.7,54.4,남서,0.8,0,21.7,-
2015-04-24,14,25.2,2.5,49.7,서남서,1,0,22.6,-
2015-04-25,13.8,26,1.3,50,남서,0.9,0,26.1,-
2015-04-26,15.8,28.9,1.9,53.9,서남서,1,0,25.5,-
2015-04-27,17.3,28.5,6.4,56.7,서남서,0.6,0,22.6,-
2015-04-28,16.4,25.1,5.3,67.3,남서,0.6,0,17.1,-
2015-04-29,15.4,17.9,12.7,91.9,동,0.2,3.5,4.8,-
2015-04-30,17.3,24.8,11.8,77.3,남남동,0.3,0,18.4,-
2015-05-01,19,29.3,9.9,73.7,남서,0.5,0,25,-
2015-05-02,19.8,28.8,9.9,68.1,남남서,0.6,0,22.2,-
2015-05-03,17.3,19.7,15.3,91.1,동,0.1,1,4.1,-
2015-05-04,17.7,22.9,7.3,53.8,서남서,1.6,0,25.3,-
2015-05-05,12.5,24.3,0.5,55.1,서남서,0.9,0,27.9,-
2015-05-06,12.9,23.9,2.2,62.6,남남서,0.3,0,18.2,-
2015-05-07,15.9,26.8,3.5,55.9,서남서,0.7,0,23.9,-
2015-05-08,15.3,25,4.3,60.6,남서,0.4,0,18.6,-
2015-05-09,18.2,26.4,11,62,남서,0.7,0,22.2,-
2015-05-10,15.5,26.3,6.2,68.1,남,0.7,0,25.4,-
2015-05-11,15.8,23.4,7.6,72.7,동,0.6,4,14.9,-
2015-05-12,17.1,22.2,11.5,61.7,서남서,1.8,13,20.4,-
2015-05-13,17.7,28.7,6.2,61.2,서남서,1.4,0,26.8,-
2015-05-14,18.9,29.4,6.9,71.4,남서,0.5,0,24.7,-
2015-05-15,20.4,25.5,15.6,78.2,남서,0.4,0,9.9,-
2015-05-16,17.9,28.1,7.4,62,서남서,0.7,0,25.8,-
2015-05-17,15.4,27.6,2.7,56.3,남서,0.5,0,25.2,-
2015-05-18,14.3,20.1,9.9,73.8,남남서,0.3,0,8,-
2015-05-19,17.2,26.5,8.9,74.8,남서,0.6,0.5,19.8,-
2015-05-20,16.2,24.2,8.1,61.2,서남서,0.9,0,27.5,-
2015-05-21,16.6,27.5,4.6,61.4,서남서,0.8,0,28.3,-
2015-05-22,19.3,29.4,8.6,52.9,서남서,0.8,0,26.8,-
2015-05-23,19.3,29.6,9,53.9,남서,0.7,0,25.8,-
2015-05-24,18.8,30.7,7.1,56.8,남서,0.5,0,28.3,-
2015-05-25,19.6,31.8,7,54.6,남서,0.7,0,28,-
2015-05-26,20.9,33.5,8.5,54.5,남서,0.6,0,28.4,-
2015-05-27,20.3,32.9,7.4,54,남서,0.4,0,28.8,-
2015-05-28,21.2,31,12.3,58.7,동남동,0.4,0,24,-
2015-05-29,21.8,32.4,9.4,55.1,서남서,0.7,0,26.7,-
2015-05-30,18.5,22.7,12.7,79,남서,0.3,2,8.6,-
2015-05-31,19.8,30.5,11.9,69.1,남,0.4,0,25.8,-
2015-06-01,20.4,31,9.8,64.5,남서,0.6,0,24.4,-
2015-06-02,21.1,29.4,15.2,65.2,남서,0.5,0,16.3,-
2015-06-03,21.8,29.4,12.9,50.3,서남서,1.2,0,26.5,-
2015-06-04,20,30.9,7,47.1,남남서,0.6,0,26.8,-
2015-06-05,14.6,18.1,10.9,82.8,남남동,0.3,5,4.7,-
2015-06-06,17.1,26.9,10.6,74.1,남,0.5,0,22.8,-
2015-06-07,20.2,30.6,10.6,63.9,남,0.5,0,27,-
2015-06-08,19,26,11.1,77.5,남서,0.4,0,13,-
2015-06-09,21.8,30.4,15.4,69.4,남서,0.6,0,23,-
2015-06-10,23.3,34,12.4,57.9,남동,0.5,0,25,-
2015-06-11,20.4,25.9,12.8,70.7,동,0.3,0,6.4,-
2015-06-12,23.7,32.4,16.1,61.6,서남서,0.8,0,23.8,-
2015-06-13,22.6,31.2,13.7,66.9,남남서,0.6,0,15.6,-
2015-06-14,22.3,31,14.4,70.2,남서,0.6,0,20.1,-
2015-06-15,24.4,32.1,17.9,68.6,남서,0.5,0,19,-
2015-06-16,22.3,31.7,18.5,82.9,남남동,0.4,47,14.9,-
2015-06-17,20.9,27.6,15.8,78.1,동남동,0.4,0,17.6,-
2015-06-18,20.5,26.3,13.7,76.3,동,0.3,0,14.2,-
2015-06-19,22.4,29.1,16.9,65.8,동남동,0.5,0,22.1,-
2015-06-20,18.8,20.4,16.9,86.3,남남동,0.2,10.5,3.4,-
2015-06-21,21.3,28,16.7,77.6,남,0.3,0,22.2,-
2015-06-22,21.8,29.9,14.6,75,남,0.4,0,23.2,-
2015-06-23,22.5,31.2,15.5,77.4,남동,0.4,0,22.6,-
2015-06-24,22.4,27.9,17.6,78.1,남남동,0.3,0,15.3,-
2015-06-25,20.2,26.5,14.8,81.2,동남동,0.3,6,10.7,-
2015-06-26,20.4,23.4,17.8,93.2,남서,0.4,31,6.4,-
2015-06-27,21.3,27.9,16.6,80.5,동남동,0.3,0,14.4,-
2015-06-28,20.4,26.5,15.2,81.6,동,0.2,0,16.3,-
2015-06-29,23.9,32.1,16,72.3,남남서,0.4,0,24.9,-
2015-06-30,21.2,25.6,17.9,85.2,남남서,0.3,5.5,6.8,-
2015-07-01,22.3,29.6,16.3,76.6,서남서,0.9,0.5,20.3,-
2015-07-02,21.3,29.3,12.7,72.4,남서,0.5,0,26.2,-
2015-07-03,22.3,29.5,16.7,72.1,남서,0.6,0,21.6,-
2015-07-04,20,26.2,13.8,75.4,동,0.4,0,15.9,-
2015-07-05,21.3,29.1,13.8,72.3,동남동,0.4,3.5,24.1,-
2015-07-06,21.5,28.6,17.4,79.7,남남동,0.4,0,19.2,-
2015-07-07,18.3,21.6,15.1,88.4,남서,0.2,21.5,5.8,-
2015-07-08,19.7,23.4,16.9,95.2,동남동,0.1,16.5,5.9,-
2015-07-09,20.5,23.2,18.9,95.8,동남동,0.1,23.5,4.4,-
2015-07-10,23.1,30.2,18.3,84.9,남남서,0.3,0,18.4,-
2015-07-11,24.8,32.5,19.3,85.5,남서,0.3,0.5,18.1,-
2015-07-12,24.2,26.8,22.3,92.5,동,0.6,14,4.1,-
2015-07-13,25.4,29,21.6,76.3,남남서,1.2,1,19.9,-
2015-07-14,25.4,32.5,19.6,76.9,서남서,0.6,0,24,-
2015-07-15,25,32.5,19.2,74.6,동남동,0.3,0,19.2,-
2015-07-16,21.5,26.3,16,65.8,동남동,0.6,0,26.2,-
2015-07-17,20.4,24.7,14.5,74.1,남서,0.6,0,14.1,-
2015-07-18,23,28.1,18.8,78,남서,0.4,0,15.5,-
2015-07-19,23.8,31.2,18.6,78.6,남동,0.3,0,18.8,-
2015-07-20,23.2,27.4,19.9,85.2,남남동,0.2,0,7.9,-
2015-07-21,24.8,30,20.8,87,남,0.2,0,12.6,-
2015-07-22,27.1,33.2,22.7,79.6,남,0.4,0,19.9,-
2015-07-23,26.4,30,23.3,84.5,남서,0.4,0.5,10,-
2015-07-24,27.7,31.1,24.3,76,남,0.8,0,12.3,-
2015-07-25,28.2,32.8,22.5,70.4,남,0.8,0,25,-
2015-07-26,27,35.7,19.6,73.1,남서,0.5,0,25.5,-
2015-07-27,25.9,31.5,20.9,82,남서,0.5,0,14.9,-
2015-07-28,27.8,34.2,23.1,76.1,서남서,0.6,0,19.9,-
2015-07-29,25.9,30.4,22.4,87.8,남서,0.2,0,9.3,-
2015-07-30,28.3,35.9,23.1,79.6,남서,0.4,0,20.4,-
2015-07-31,28.8,37.2,22.2,76.1,남서,0.5,0,23.4,-
2015-08-01,28.5,36.7,21.6,73.7,남서,0.5,0,23,-
2015-08-02,26.7,34.1,21.3,79.3,남서,0.5,0,15.5,-
2015-08-03,28,36.3,21.4,73.6,서남서,0.5,0,22.3,-
2015-08-04,27.6,36.4,19.9,72,서남서,0.7,0,25.4,-
2015-08-05,27.6,36.1,20.4,72.5,남서,0.6,0,24.6,-
2015-08-06,29.1,38.7,20.2,68.6,남서,0.5,0,24.1,-
2015-08-07,29.2,38.3,21.2,67.1,남서,0.6,0,24.5,-
2015-08-08,26.9,37.8,21.5,78.6,남남서,0.5,7.5,19.7,-
2015-08-09,26.2,32.8,22,80,서남서,0.6,0,20.1,-
2015-08-10,25.8,32.8,20.2,78.4,서남서,0.5,0,16.9,-
2015-08-11,25.4,30.8,21.6,78.2,남남서,0.3,0,9.2,-
2015-08-12,21.6,24.6,18.9,91.1,남남동,0.2,5,6.6,-
2015-08-13,23.6,31.6,19.4,85.3,남서,0.4,22.5,20.2,-
2015-08-14,23.4,31.4,20.4,88.1,남,0.3,4,18.5,-
2015-08-15,24.9,32.9,19.9,83,남남서,0.2,0,21.2,-
2015-08-16,23.7,30.5,20.9,88.8,남남서,0.3,2.5,8.7,-
2015-08-17,23.8,31.4,20.1,86.5,남,0.3,4.5,15.8,-
2015-08-18,23.9,31.2,18.9,80.4,남동,0.2,0,17.7,-
2015-08-19,22.8,28.9,17.4,83.8,남남서,0.2,0,12.4,-
2015-08-20,22.8,27.1,20.4,89.5,남,0.1,1.5,8.3,-
2015-08-21,22.5,28.3,19.8,90,남남서,0.2,6.5,11.5,-
2015-08-22,23.7,29.8,19.5,84.8,남서,0.3,0,14.8,-
2015-08-23,24.2,30.3,20.4,84.3,남남서,0.2,0,13.2,-
2015-08-24,23.8,27.6,20.4,81.8,동,0.3,0.5,8.1,-
2015-08-25,21.1,22.9,18.7,92.6,남남서,0.5,27.5,2.3,-
2015-08-26,21.9,28.3,18.2,80.2,서남서,0.7,0,19.6,-
2015-08-27,21.6,28.7,16,83,서남서,0.5,0,17.6,-
2015-08-28,22,29.6,16.4,82.9,남남서,0.3,0,18.8,-
2015-08-29,21.3,29.1,16.3,84.9,남서,0.3,0,14.9,-
2015-08-30,21.6,30.2,14.6,81.3,남남서,0.3,0,19.4,-
2015-08-31,22.6,30.1,17.1,80.5,남동,0.4,0,17.4,-
2015-09-01,22.5,28.9,18.9,82.1,남동,0.3,4.5,10.5,-
2015-09-02,21.6,28.4,18.7,89.2,남,0.3,35,12.9,-
2015-09-03,21.9,28.7,17.6,86.2,남서,0.4,0,14.2,-
2015-09-04,21.8,29.9,16.5,81.1,남남동,0.3,0,20.6,-
2015-09-05,21,26.8,18.2,89.1,동남동,0.2,0,7.6,-
2015-09-06,19,22.5,14.1,90.2,동남동,0.2,0.5,5.6,-
2015-09-07,18.1,26.4,11.9,77,동,0.4,0,22,-
2015-09-08,16.9,25.8,9.6,74.6,동남동,0.4,0,22.5,-
2015-09-09,17,28.5,8.7,74,남남동,0.4,0,22.5,-
2015-09-10,17.4,27.9,7.6,77.4,남남서,0.3,0,22.2,-
2015-09-11,20,28.3,11.6,77.9,남서,0.4,0,17.8,-
2015-09-12,18.1,21.5,13.1,90.2,서남서,0.3,1.5,5.6,-
2015-09-13,16.7,25.8,10.5,76.8,서남서,0.6,0,21.8,-
2015-09-14,15.9,26.6,7.2,73.7,남동,0.2,0,19.2,-
2015-09-15,15.3,25.3,7.3,75.6,동남동,0.3,0,18.9,-
2015-09-16,16.3,24.8,7.4,75.8,동,0.3,0,14.5,-
2015-09-17,16.7,20.7,13.4,87.2,동,0.3,1.5,5.8,-
2015-09-18,18.5,27,11.8,78.3,남,0.3,0,20,-
2015-09-19,17.9,27.5,12.2,81.9,남남서,0.3,0,18,-
2015-09-20,18.1,27.6,11,80.4,남남서,0.2,0,16.7,-
2015-09-21,19,29.5,12.1,78.8,남남동,0.3,0,18.3,-
2015-09-22,17.9,28.8,9.3,75,남남동,0.3,0,20.7,-
2015-09-23,16.6,22.3,10.6,87.7,남남서,0.2,0.5,6.5,-
2015-09-24,19.4,24.1,13.8,85.8,동,0.2,0,6.9,-
2015-09-25,18.6,26.7,13.1,82.3,남남동,0.2,0,12.1,-
2015-09-26,18,25.9,12.3,86.2,남서,0.3,0,11.1,-
2015-09-27,18.6,29,13.1,80.8,남남서,0.3,0,16.4,-
2015-09-28,19.2,31.1,10,68.8,남남동,0.3,0,17.6,-
2015-09-29,18.7,27.6,11.3,71.3,동,0.3,0,17.3,-
2015-09-30,17.4,23.5,13.1,71.3,동남동,0.3,0,10.1,-
2015-10-01,17.3,21.1,14.2,88.8,서,0.8,21.5,2.9,-
2015-10-02,13.8,22.5,5,60,서남서,1.1,0,20.2,-
2015-10-03,15.2,26.1,6,76.5,서남서,0.6,0,15.9,-
2015-10-04,15.1,24.5,7.9,72.4,남서,0.3,0,16.9,-
2015-10-05,14.5,25.1,8,74.5,남남서,0.3,0,18,-
2015-10-06,13.6,26.4,4.6,73,남남서,0.3,0,17.8,-
2015-10-07,14.5,26.4,5.3,75.1,남남서,0.3,0,15.5,-
2015-10-08,14.2,25.5,5.5,77.6,남서,0.4,0,14.7,-
2015-10-09,13.3,21.9,3.9,69.5,서남서,0.8,0,15.2,-
2015-10-10,11.1,22.9,0.3,75,남서,0.5,3.5,15.8,-
2015-10-11,11.7,18,5.6,82.3,서남서,0.8,2,9.8,-
2015-10-12,11.3,18.7,3.9,75.3,서남서,0.9,0.5,14.5,-
2015-10-13,10.3,22.4,0.3,74.1,서남서,0.6,0,16.6,-
2015-10-14,11.9,24.2,2.5,77.3,남남서,0.3,0,15.6,-
2015-10-15,12.6,24.8,3.9,77.9,남서,0.3,0,14.9,-
2015-10-16,12.8,24,4.4,81.7,남남서,0.2,0,12.8,-
2015-10-17,13.4,26,6.2,81.2,남남서,0.2,0,13.2,-
2015-10-18,13,26.1,4.4,77.6,남남서,0.2,0,13.3,-
2015-10-19,12.7,23.4,4.7,81.5,남서,0.2,0,10.6,-
2015-10-20,14.4,24.9,6.2,79.6,남,0.3,0,11,-
2015-10-21,14,24.2,7.5,84.7,남남서,0.2,0,11.2,-
2015-10-22,14.2,21.5,8.1,81.3,동,0.2,0,7.3,-
2015-10-23,14.5,23.2,8.5,81.8,남서,0.3,0,11.5,-
2015-10-24,13.6,22.9,7,83.9,서남서,0.5,0,9.1,-
2015-10-25,12.6,21.6,4,68.7,동남동,0.4,0,13.5,-
2015-10-26,11.5,20.1,2.6,71.9,동남동,0.3,0,11.6,-
2015-10-27,11.1,16.5,6.8,81.6,서,0.9,15,4.6,-
2015-10-28,8,17.8,-0.2,69.5,서남서,0.7,0,13.7,-
2015-10-29,7.8,15.5,2.2,64.4,서남서,0.7,0,12.3,-
2015-10-30,6.2,13.3,-2.3,57.6,서남서,1,0,14.4,-
2015-10-31,2.4,14.1,-6.6,65,서남서,0.6,0,14.7,-
2015-11-01,2.4,9.1,-5.7,74.2,서남서,0.2,0,4.8,-
2015-11-02,7.3,17.4,-0.8,69.5,서남서,0.7,0,13,-
2015-11-03,6.7,19.5,-2.2,76.1,남,0.2,0,12.7,-
2015-11-04,6.4,20.4,-2.9,74.9,남서,0.3,0,12.9,-
2015-11-05,8.8,20.8,0.1,73.3,남서,0.3,0,10.1,-
2015-11-06,10.2,20.5,1.2,80.1,남동,0.3,3.5,8.5,-
2015-11-07,12.2,14.1,10.5,97.4,서남서,0.1,15.5,1.2,-
2015-11-08,12.4,13.6,11.3,95.7,동남동,0.2,17,1.7,-
2015-11-09,12.3,15.2,7.4,88.9,서남서,0.5,2,3.1,-
2015-11-10,10.2,16.6,6.1,85.5,남남동,0.2,0,7.9,-
2015-11-11,9.7,18.4,4.6,85.4,남남동,0.2,0,9,-
2015-11-12,10.3,14.2,6.5,96.7,동북동,0.2,1,1.8,-
2015-11-13,10.4,12.4,8,97.5,동,0.2,19.5,1.6,-
2015-11-14,13.4,17.3,11.3,95.3,남,0.2,2,4.1,-
2015-11-15,13.1,18.7,6.9,86.3,서남서,0.5,0,6,-
2015-11-16,9.9,13.3,6.1,96,남,0.3,10,3.1,-
2015-11-17,13.7,16.9,11.8,92.2,동,0.6,0,2.7,-
2015-11-18,10.6,13.2,8,89.8,동남동,0.5,8.5,1.1,-
2015-11-19,9.1,11.6,6.9,91.1,남남서,0.3,0,2.7,-
2015-11-20,9.8,15.9,3.5,84.6,남서,0.4,0,8.7,-
2015-11-21,6.7,11,2.5,95.7,남남동,0.3,0,3.2,-
2015-11-22,10.9,14.9,8.3,91.7,남남서,0.3,0,3.9,-
2015-11-23,10.9,13.3,8.1,94,서남서,0.4,4,2.5,-
2015-11-24,8.8,10.8,6.3,76.9,남동,0.7,0,3.1,-
2015-11-25,5.3,6.6,2.8,90.5,서남서,0.5,1.5,1.6,-
2015-11-26,1.8,4.4,-0.9,66.7,서남서,2,0,5,-
2015-11-27,-0.1,3.7,-3.1,70.3,서남서,1.5,0,7,-
2015-11-28,1.1,7.6,-2.6,82.6,남서,0.4,0,5.6,-
2015-11-29,2.9,10.7,-2.9,82.3,남남동,0.4,0,8.3,-
2015-11-30,4.2,12.1,-3,79.9,서남서,0.8,0,8.1,-
2015-12-01,0.8,11.9,-6.8,82,남,0.3,0,9,-
2015-12-02,2.9,7.8,-2.2,90.4,서남서,0.6,1,1.7,-
2015-12-03,2.9,7.6,-1,65.1,서남서,2.2,0,5.5,-
2015-12-04,1.9,6,-1.6,67.2,서남서,2.1,0,8.3,-
2015-12-05,5.4,8.7,0.7,61.9,서남서,1.6,0,4.4,-
2015-12-06,1.5,8.6,-4,77.1,남남동,0.2,0,5.1,-
2015-12-07,2.7,12.3,-5,79.4,남남동,0.4,0,8.3,-
2015-12-08,5.1,12.2,-2.3,74.4,남남서,0.4,0,8.1,-
2015-12-09,2.7,12.2,-4.1,86.3,남,0.3,0,6.7,-
2015-12-10,6.1,8.3,3.6,96,서,0.3,9.5,1.9,-
2015-12-11,6.3,10.1,-2.2,87.6,동,0.6,5,3.7,-
2015-12-12,3.1,11.5,-2.3,79.9,남남동,0.4,0,9,-
2015-12-13,2,11.7,-3.2,84.4,동남동,0.3,0,7.7,-
2015-12-14,4.3,8.6,-1.7,95.5,동,0.2,1.5,2.8,-
2015-12-15,6.3,9.8,0.3,83.8,서남서,0.8,0,5.1,-
2015-12-16,1.4,5.5,-2.7,71.5,서남서,1.3,0.5,6.3,-
2015-12-17,-3.2,1.4,-9.7,52.5,서남서,1.5,0,9.6,-
2015-12-18,-3.6,7,-12.6,74.5,서남서,1,0,9.8,-
2015-12-19,-2.3,8.6,-8.8,78.7,남동,0.4,0,8.9,-
2015-12-20,-2.9,2.8,-8.9,82.6,동남동,0.3,0,3.1,-
2015-12-21,1.1,8.1,-3.2,88.2,서남서,0.3,0,3.6,-
2015-12-22,-0.6,3.3,-3,97.4,남동,0.5,0,3.4,-
2015-12-23,3.4,6,0.7,95.5,서남서,0.3,0.5,1.5,-
2015-12-24,3,8,-2.2,84.5,남서,0.6,0,4.9,-
2015-12-25,-1.3,5.6,-8.1,60.9,서남서,1.1,0,9.4,-
2015-12-26,0.4,10.4,-8.1,67.5,서남서,0.9,0,7.8,-
2015-12-27,-3,4,-10.4,62.2,남서,1,0,9.7,-
2015-12-28,-6.5,1.7,-13.7,59.7,서남서,1.3,0,9.7,-
2015-12-29,-6.4,4.6,-14.7,63.2,남서,0.8,0,9.1,-
2015-12-30,-4.3,7,-12.9,70.6,남동,0.5,0,9.2,-
